"","person_id","p_violence_raw","p_recid_raw","p_fail_to_appear_raw","p_current_age","cq_fail_appear_two_yr","cq_fail_appear_two_plus","p_yrs5_felcount_person","p_felony_count_person","cq_prior_conviction_F","p_misdem_count_5yrs","p_misdem_count_person","cq_prior_conviction_M","p_drug_count_5yrs","p_drug_count_person","p_yrs5_trafcount_person","p_traffic_count_person","prior_conviction_T","p_current_violent_offense","p_prison_visits","p_prison_time","p_jail_visits","p_jail_time","cq_violent_conviction","p_marital_status","p_sex","p_race","p_numcases","corrected_age"
"44",48,-2.19,-0.81,17,36,0,0,1,2,2,1,4,2,0,0,0,8,NA,1,2,3244,4,234.111180555556,1,1,1,2,10,-3.56805120840666
"45",49,-2.59,-0.46,29,50,0,0,3,21,17,3,29,18,0,2,1,27,NA,1,6,4300,2,18.620150462963,6,1,1,1,21,-4.11580265710674
"46",50,-2.81,-0.82,20,47,0,0,1,2,1,1,9,6,0,2,3,7,2,0,0,NA,3,11.929525462963,0,1,1,6,8,-4.01030140867767
"47",52,-2.67,-0.73,16,31,0,0,0,0,0,4,7,7,0,0,2,4,NA,0,0,NA,4,76.4884375,0,1,2,1,6,-3.29628301271575
"48",53,-2.49,-1.23,15,22,0,0,0,0,0,1,1,0,0,0,2,2,2,0,0,NA,2,4.25290509259259,0,4,1,1,1,-2.49745946014858
"49",54,-1.55,0.32,25,32,0,0,8,16,NA,12,25,NA,7,14,18,46,NA,1,2,1005,4,224.402476851852,1,1,1,2,37,-3.35719260373834
"50",57,-3.6,-1.77,15,48,0,0,0,0,0,6,7,6,0,0,0,0,0,0,0,NA,1,1.13704861111111,0,1,1,2,5,-4.04604028434019
"51",59,-2.78,-1.33,18,28,0,0,1,1,0,2,2,1,0,0,12,12,5,1,0,NA,2,1.40702546296296,1,2,1,1,10,-3.0867555891354
"52",60,-1.35,-0.25,13,22,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,NA,2,272.954791666667,0,1,1,2,4,-2.49745946014858
"53",61,-2.82,-1.32,16,48,0,0,0,2,2,0,5,3,0,0,0,10,10,1,0,NA,2,9.6630787037037,1,3,2,2,7,-4.04604028434019
"54",62,-1.98,-0.01,17,27,0,0,0,6,10,5,8,6,2,4,8,8,3,1,1,351,1,1.08737268518519,10,1,1,1,12,-3.0062675861412
"55",63,-0.31,0.58,37,35,0,0,2,14,8,5,23,19,2,15,2,16,4,1,2,610,3,198.791365740741,1,2,1,2,24,-3.51946813438919
"56",64,-2.8,-0.06,20,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,3,63.7487384259259,0,1,1,2,1,-3.0062675861412
"57",66,-0.77,1.07,18,24,0,0,2,6,3,6,12,5,0,4,1,3,1,1,3,550,3,34.1043171296296,5,1,1,1,9,-2.72482618216106
"58",67,-2.54,0.1,23,33,NA,NA,0,5,4,8,17,14,0,4,2,15,12,1,0,NA,2,1.95471064814815,4,4,1,2,24,-3.41441638792349
"59",70,-2.41,-0.59,13,27,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,NA,1,0.160972222222222,0,4,1,2,2,-3.0062675861412
"60",71,-2.86,-1.22,12,27,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,NA,2,0.438159722222222,0,1,1,1,3,-3.0062675861412
"61",74,-2.35,-0.98,17,24,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,1,0.224467592592593,0,1,1,1,1,-2.72482618216106
"62",76,-0.45,0.42,32,32,1,0,0,0,0,3,3,3,0,0,0,0,0,0,1,1664,3,1.49883101851852,0,1,1,1,2,-3.35719260373834
"63",78,-2.21,-0.28,18,29,0,0,1,3,1,0,1,0,0,1,3,7,NA,0,0,NA,1,1.61040509259259,0,1,1,2,7,-3.16156316138986
"64",79,-1.45,-0.43,25,28,0,0,4,6,5,9,15,14,5,8,7,12,NA,0,0,NA,1,135.972835648148,0,1,1,2,21,-3.0867555891354
"65",80,-2.04,-0.6,12,22,0,0,1,1,0,3,3,1,3,3,1,1,0,0,0,NA,3,2.8447337962963,0,1,1,2,3,-2.49745946014858
"66",82,-2.71,0.09,15,31,0,0,0,0,0,2,10,NA,0,2,0,1,0,0,0,NA,2,1.89309027777778,0,1,1,1,5,-3.29628301271575
"67",83,-2.36,-0.01,15,27,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,NA,1,23.2676157407407,0,1,1,3,1,-3.0062675861412
"68",84,-3.38,-2.05,13,47,0,0,0,0,0,2,4,2,0,0,4,5,3,0,0,NA,1,0.903240740740741,0,2,1,2,7,-4.01030140867767
"69",86,-3.18,-1.84,11,30,0,0,0,0,0,0,0,0,0,0,6,7,6,0,0,NA,1,0.193321759259259,0,1,2,3,5,-3.23123437142032
"70",87,-2.94,-0.93,14,33,0,0,0,0,0,5,6,4,0,0,8,10,NA,0,0,NA,1,0.97224537037037,0,4,1,2,6,-3.41441638792349
"71",89,-3.25,-1.84,13,32,0,0,0,0,0,1,3,4,0,0,11,14,7,1,0,NA,1,0.740347222222222,2,2,1,2,12,-3.35719260373834
"72",90,-0.9,0.69,20,26,1,1,5,10,3,12,14,9,5,9,3,7,NA,1,0,NA,5,49.9028819444444,4,1,1,2,17,-2.91952480886474
"73",91,-2.7,-1.11,16,35,0,0,0,1,0,5,8,2,2,5,6,10,6,1,0,NA,1,1.96278935185185,3,1,1,1,10,-3.51946813438919
"74",92,-2.41,-0.17,21,44,0,0,0,12,9,0,4,3,0,0,1,2,0,1,8,6813,2,10.0826736111111,8,2,1,1,10,-3.89993708340941
"75",93,-1.61,-0.62,13,20,0,0,0,0,0,3,3,3,1,1,6,6,4,1,0,NA,1,1.03827546296296,1,1,1,2,6,-2.23173999352309
"76",94,-3.31,-1.88,11,33,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,NA,1,0.226261574074074,0,2,2,1,3,-3.41441638792349
"77",96,-1.8,0.44,23,27,0,0,4,4,2,4,7,7,0,0,4,8,NA,1,1,340,4,678.829548611111,4,1,1,2,10,-3.0062675861412
"78",96,-1.55,0.16,24,27,0,0,4,4,2,4,7,7,0,0,4,8,NA,1,1,340,4,678.829548611111,4,1,1,2,10,-3.0062675861412
"79",98,-2.32,-0.25,18,26,2,0,1,1,0,4,12,8,2,5,6,7,NA,1,0,NA,3,37.0492476851852,2,1,1,2,12,-2.91952480886474
"80",98,-2.04,-0.33,17,26,2,0,1,1,0,4,12,8,2,5,6,7,NA,1,0,NA,3,37.0492476851852,2,1,1,2,12,-2.91952480886474
"81",99,-3.24,-1.88,11,31,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,NA,1,1.36645833333333,0,1,1,6,2,-3.29628301271575
"82",101,-3.55,-2.08,13,44,1,0,3,6,6,2,6,6,1,3,1,5,NA,1,4,3952,3,678.957696759259,1,1,1,3,10,-3.89993708340941
"83",101,-3.62,-1.97,18,44,1,0,3,6,6,2,6,6,1,3,1,5,NA,1,4,3952,3,678.957696759259,1,1,1,3,10,-3.89993708340941
"84",102,-1.59,-0.52,14,20,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,NA,1,1.05694444444444,0,1,1,3,2,-2.23173999352309
"85",103,-2.62,-1.2,14,30,0,0,0,0,0,3,3,2,0,0,8,8,0,0,0,NA,1,0.844166666666667,0,1,2,1,3,-3.23123437142032
"86",106,-2.03,-0.22,14,23,0,0,2,2,1,1,2,2,0,0,10,10,3,0,0,NA,1,0.872199074074074,0,1,1,2,9,-2.61557027051489
"87",107,-2.36,-0.24,16,27,3,0,1,1,0,9,9,3,1,1,25,26,10,0,0,NA,5,4.76508101851852,0,1,1,2,21,-3.0062675861412
"88",107,-2.48,-0.26,17,27,3,0,1,1,0,9,9,3,1,1,25,26,10,0,0,NA,5,4.76508101851852,0,1,1,2,21,-3.0062675861412
"89",113,-2.38,-0.91,11,20,3,0,0,0,0,2,2,0,0,0,1,1,1,0,0,NA,3,42.7067592592593,0,1,1,2,2,-2.23173999352309
"90",115,-2.32,-0.98,16,24,0,0,0,0,0,1,1,1,0,0,2,2,1,0,0,NA,4,67.3240625,0,1,2,2,1,-2.72482618216106
"91",119,-3.05,-1.36,21,30,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,NA,1,1.14943287037037,0,4,1,2,2,-3.23123437142032
"92",121,-4.05,-2.53,12,48,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,NA,1,0.561724537037037,0,2,1,1,4,-4.04604028434019
"93",122,-0.74,0.78,26,27,0,0,2,6,2,4,7,5,2,4,5,7,4,1,1,251,3,3.5912962962963,6,1,1,2,12,-3.0062675861412
"94",122,-0.56,0.93,29,27,0,0,2,6,2,4,7,5,2,4,5,7,4,1,1,251,3,3.5912962962963,6,1,1,2,12,-3.0062675861412
"95",124,-3.24,-0.46,29,51,0,0,2,2,2,4,4,3,1,1,4,4,1,1,0,NA,1,9.06189814814815,1,2,1,2,3,-4.1496730151443
"96",126,-1.78,-0.19,16,21,0,0,0,0,0,3,3,1,0,0,0,0,0,1,0,NA,2,0.299502314814815,1,1,1,1,3,-2.36976803238571
"97",127,-2.84,-1.64,13,49,0,0,0,0,0,0,0,0,0,0,6,7,3,0,0,NA,2,2.84037037037037,0,2,1,6,6,-4.08122784448983
"98",130,-1.21,-0.33,11,18,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,3,426.59,0,1,1,6,1,-1.92149873255189
"99",131,-0.57,0.39,16,20,0,0,3,3,2,1,1,0,0,0,0,0,0,1,0,NA,4,31.1074305555556,1,1,1,2,2,-2.23173999352309
"100",137,-1.54,0.03,23,34,0,0,2,6,5,1,9,7,2,5,4,8,NA,1,1,583,3,12.1451157407407,1,1,1,2,14,-3.46837733367982
"101",138,-2.15,0.15,19,24,0,0,0,0,0,11,11,6,2,2,20,20,11,1,0,NA,3,11.3604398148148,1,1,1,1,16,-2.72482618216106
"102",139,-1.5,-0.21,15,19,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,5,237.830671296296,0,1,1,6,1,-2.08258907483073
"103",141,-1.98,-0.32,16,29,0,0,2,3,2,4,8,6,2,2,5,5,NA,1,0,NA,1,10.2596412037037,2,1,1,1,9,-3.16156316138986
"104",142,-0.91,0.21,17,24,2,0,0,1,1,10,15,12,4,4,6,6,1,1,0,NA,4,12.356400462963,3,1,1,1,12,-2.72482618216106
"105",144,-2.89,-0.92,27,33,0,0,1,1,1,4,4,4,0,0,7,7,1,1,0,NA,1,16.1881712962963,1,1,1,2,5,-3.41441638792349
"106",146,-3.23,-1.53,14,37,0,0,0,0,0,2,2,0,0,0,13,14,12,0,0,NA,8,31.0944328703704,0,1,1,1,12,-3.61445869906053
"107",150,-3.71,-2.2,12,42,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,NA,1,1.12771990740741,0,2,2,3,2,-3.82336816649141
"108",153,-2.64,-1.09,24,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,1,0.933229166666667,0,1,1,2,1,-3.0867555891354
"109",155,-3.03,-1.25,18,31,0,1,1,1,0,5,8,5,0,0,9,13,3,1,0,NA,2,0.921643518518518,1,1,2,2,12,-3.29628301271575
"110",156,-1.52,-0.15,23,22,0,0,8,8,10,6,7,4,4,4,20,20,13,1,2,2594,5,369.104803240741,8,1,1,1,22,-2.49745946014858
"111",157,-2.58,-0.66,14,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,3,53.3218981481481,0,1,1,1,1,-3.0867555891354
"112",159,-2.28,-0.96,21,36,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1433,4,238.599305555556,2,1,2,1,1,-3.56805120840666
"113",161,-2.4,-0.17,22,33,0,0,0,0,0,7,10,6,0,1,7,9,NA,0,0,NA,2,12.0050925925926,0,1,1,1,8,-3.41441638792349
"114",163,-3.34,-1.47,23,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,1,1.03707175925926,0,1,1,1,1,-3.78391606866848
"115",164,-1.68,0.47,19,20,0,0,1,1,1,1,1,1,1,1,2,2,2,1,0,NA,8,64.6417708333333,1,1,1,2,5,-2.23173999352309
"116",166,-1.56,0.43,15,19,0,0,6,6,4,2,2,1,0,0,0,0,0,1,1,1422,5,601.980844907407,3,1,1,2,4,-2.08258907483073
"117",166,-1.03,0.64,16,19,0,0,6,6,4,2,2,1,0,0,0,0,0,1,1,1422,5,601.980844907407,3,1,1,2,4,-2.08258907483073
"118",169,-2.4,-0.55,16,35,0,0,6,6,NA,3,3,2,9,9,6,8,4,0,0,NA,2,3.54476851851852,0,2,1,1,8,-3.51946813438919
"119",170,-2.06,0.52,19,25,0,0,0,2,2,2,2,2,1,2,0,0,0,1,2,2593,2,209.896157407407,1,1,1,2,3,-2.82592263873672
"120",172,-2.31,-0.89,14,30,0,0,0,2,1,1,2,0,0,1,15,17,9,0,0,NA,1,0.000740740740740741,0,1,1,2,14,-3.23123437142032
"121",173,-2.63,-0.37,14,31,0,0,0,2,0,2,9,6,0,7,2,7,4,0,0,NA,1,0.285833333333333,0,4,1,2,9,-3.29628301271575
"122",174,-3.3,-1.31,14,35,1,0,0,0,0,3,3,1,0,0,3,5,3,0,0,NA,3,10.5668171296296,0,3,1,2,5,-3.51946813438919
"123",175,-2.85,-1.04,13,39,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,NA,3,81.2092708333333,2,4,1,1,2,-3.70192412845671
"124",175,-2.7,-0.86,16,39,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,NA,3,81.2092708333333,2,2,1,1,2,-3.70192412845671
"125",176,-1.36,0.53,24,39,0,0,3,13,9,2,6,NA,2,4,0,1,2,1,4,3876,2,217.167777777778,6,1,1,2,10,-3.70192412845671
"126",177,-1.49,-0.58,13,20,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,NA,2,0.992152777777778,0,1,1,2,1,-2.23173999352309
"127",178,-1.88,0.28,27,32,0,0,7,15,NA,8,30,NA,5,12,5,24,NA,1,5,2381,3,15.7322106481481,1,6,1,2,30,-3.35719260373834
"128",179,-3.43,-2.04,16,43,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,1,1.23103009259259,0,1,1,1,1,-3.8620017653581
"129",180,-1.2,-0.03,25,29,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,NA,1,1.18782407407407,0,1,1,2,2,-3.16156316138986
"130",181,-1.32,0.25,16,24,0,0,6,8,5,7,9,7,2,3,1,3,2,1,1,1975,1,0.977997685185185,3,1,1,2,11,-2.72482618216106
"131",182,-2.85,-1.52,14,28,0,0,0,0,0,1,1,1,0,0,17,17,10,0,0,NA,3,29.3735300925926,0,1,2,6,12,-3.0867555891354
"132",183,-1.45,0.71,21,28,1,0,5,8,8,7,13,11,2,2,2,5,NA,1,1,1560,3,675.467974537037,9,1,1,1,13,-3.0867555891354
"133",184,-2.12,0.34,22,26,0,0,4,4,3,2,3,1,6,7,0,0,0,0,1,1281,2,143.874826388889,0,1,1,2,3,-2.91952480886474
"134",185,-2.77,-1.31,13,30,0,0,0,0,0,1,1,0,0,0,7,7,NA,0,0,NA,2,91.348912037037,0,1,2,1,3,-3.23123437142032
"135",186,-3.38,-1.45,18,45,0,0,0,0,0,1,4,1,0,0,2,2,0,0,0,NA,1,0.93744212962963,0,1,1,3,3,-3.93726406375938
"136",189,-1.73,0.39,26,50,0,0,0,0,0,1,4,2,0,0,2,3,3,0,0,NA,1,0.632743055555556,0,1,1,1,4,-4.11580265710674
"137",190,-1.44,1.08,23,31,2,0,3,11,6,6,17,NA,0,5,18,27,NA,1,1,1940,2,32.9521759259259,5,1,1,2,36,-3.29628301271575
"138",194,-3.39,-0.86,21,39,1,0,0,5,5,2,9,4,0,7,4,10,3,1,0,NA,3,93.0638888888889,1,1,1,1,8,-3.70192412845671
"139",197,-2.7,-1.26,17,29,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,NA,1,3.81372685185185,0,1,1,1,3,-3.16156316138986
"140",201,-1.67,-0.51,11,20,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA,1,1.13524305555556,0,1,1,1,1,-2.23173999352309
"141",203,-2.49,-1.45,11,22,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,NA,1,2.44109953703704,0,1,2,2,3,-2.49745946014858
"142",204,-1.49,0.13,22,35,0,0,0,6,1,2,12,7,0,4,0,1,1,1,0,NA,3,70.3300578703704,7,1,1,2,12,-3.51946813438919
"143",206,-2.66,-0.86,13,28,1,0,1,1,1,8,9,5,2,2,6,8,2,1,0,NA,5,221.624826388889,4,1,2,1,15,-3.0867555891354
"144",208,-2.95,-1.14,17,42,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,NA,1,0.0232986111111111,2,2,1,1,2,-3.82336816649141
"145",210,-2.51,-0.06,25,29,0,0,2,2,1,4,4,0,1,1,0,0,0,1,1,1394,2,15.7926851851852,2,1,1,2,3,-3.16156316138986
"146",211,-3.51,-0.73,15,51,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,NA,1,1.14578703703704,0,2,1,3,1,-4.1496730151443
"147",212,-3.32,-1.2,17,33,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,NA,1,2.34885416666667,0,2,1,6,2,-3.41441638792349
"148",213,-2.54,-1,12,29,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,NA,1,15.1302083333333,1,1,1,1,1,-3.16156316138986
"149",215,-2.29,-1.28,14,28,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,NA,1,1.0678125,1,2,1,2,2,-3.0867555891354
"150",216,-3.38,-1.12,13,56,0,0,0,0,0,1,1,0,1,1,2,2,2,0,0,NA,3,62.4332060185185,0,1,1,1,3,-4.3031289881357
"151",217,-1.04,1.08,21,26,2,0,5,9,6,12,23,17,3,5,5,11,NA,1,2,3574,6,136.089340277778,2,1,1,2,19,-2.91952480886474
"152",222,-3.71,-2.13,16,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,1,0.965439814814815,0,2,2,1,1,-3.74349497872172
"153",223,-1.98,0.21,21,36,0,0,1,9,7,1,6,NA,1,6,0,2,NA,1,4,7550,5,225.517719907407,3,1,1,2,10,-3.56805120840666
"154",224,-1.86,-0.25,21,31,0,0,1,20,12,4,6,3,3,17,1,1,1,1,1,557,3,38.2821412037037,4,1,1,2,11,-3.29628301271575
"155",225,-2.65,-0.48,23,31,2,0,0,1,0,2,10,5,0,1,13,19,10,1,0,NA,5,5.16670138888889,3,1,1,2,17,-3.29628301271575
"156",228,-0.83,0.21,29,30,0,0,4,8,4,7,10,6,9,12,0,0,0,1,0,NA,3,81.0731828703704,2,1,2,2,8,-3.23123437142032
"157",228,-0.83,0.51,30,30,0,0,4,8,4,7,10,6,9,12,0,0,0,1,0,NA,3,81.0731828703704,2,1,2,2,8,-3.23123437142032
"158",229,-1.03,0.56,17,25,0,0,0,1,0,1,1,1,1,1,0,0,0,1,3,2613,5,278.671909722222,1,1,1,2,2,-2.82592263873672
"159",230,-3.99,-1.86,16,51,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,NA,1,1.02491898148148,0,2,1,2,1,-4.1496730151443
"160",233,-0.31,0.67,19,24,0,0,3,3,1,7,7,2,0,0,0,0,0,1,0,NA,2,524.152164351852,2,1,1,2,4,-2.72482618216106
"161",234,-3.76,-1.68,15,58,0,0,0,1,0,0,2,0,0,3,1,3,1,0,0,NA,1,0.756168981481481,0,4,2,2,2,-4.35297964564598
"162",235,-1.73,-0.06,31,50,0,0,7,7,4,7,11,8,2,2,1,1,0,1,1,215,10,206.259895833333,12,2,1,6,13,-4.11580265710674
"163",239,-1.99,-0.53,13,27,0,0,2,2,0,0,0,0,0,0,3,3,2,1,0,NA,1,0.885289351851852,1,1,1,3,4,-3.0062675861412
"164",241,-2.17,-0.98,16,23,1,0,0,0,0,2,2,2,0,0,4,4,2,0,0,NA,1,0.761331018518518,0,1,2,2,3,-2.61557027051489
"165",244,-2.06,-0.29,21,28,0,0,3,3,3,2,2,1,0,0,0,2,1,1,1,515,4,546.104861111111,4,1,2,1,4,-3.0867555891354
"166",245,-1.19,0.06,21,28,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,NA,2,72.8445601851852,0,1,1,2,1,-3.0867555891354
